Scenario,Num Features,Mean R2,Std R2,Mean MAE,Std MAE,Mean RMSE,Std RMSE
8 Features,8,0.4014582880101221,0.011342031659495374,0.030796224828781853,0.00035322790608345405,0.03869947029652047,0.00043262788031571745
11 Features,11,0.5486474743104853,0.010554388792889379,0.026694594577619447,0.00031342286769156264,0.03360427997605288,0.0003695395497660081
20 Features,20,0.9999999995073485,2.3568509086179555e-12,8.859204174206517e-07,1.0788511408932295e-08,1.1103797985908715e-06,1.395595676347561e-08
